Time;RPS
0;37
1;20
2;25
3;24
4;22
5;24
6;23
7;21
8;20
9;27
10;15
11;21
12;27
13;23
14;22
15;13
16;14
17;10
18;14
19;15
20;35
21;14
22;11
23;12
24;23
25;23
26;5
27;1
28;16
29;16
30;10
31;20
32;20
33;19
34;23
35;24
36;11
37;29
38;18
39;18
40;9
41;18
42;26
43;18
44;22
45;36
46;29
47;26
48;21
49;25
50;30
51;22
52;28
53;30
54;41
55;33
56;29
57;28
58;40
59;37
60;47
61;33
62;43
63;53
64;46
65;57
66;55
67;45
68;45
69;52
70;48
71;60
72;42
73;40
74;52
75;58
76;65
77;59
78;58
79;70
80;54
81;64
82;49
83;74
84;68
85;60
86;69
87;75
88;83
89;78
90;62
91;78
92;74
93;67
94;61
95;78
96;78
97;76
98;75
99;92
100;92
101;73
102;78
103;84
104;81
105;77
106;90
107;80
108;87
109;76
110;88
111;87
112;85
113;86
114;85
115;72
116;88
117;89
118;87
119;91
120;87
121;83
122;86
123;79
124;79
125;82
126;80
127;84
128;76
129;77
130;86
131;88
132;80
133;72
134;70
135;75
136;70
137;74
138;77
139;82
140;60
141;70
142;76
143;82
144;57
145;70
146;65
147;61
148;61
149;64
150;57
151;65
152;50
153;62
154;49
155;60
156;52
157;52
158;51
159;42
160;48
161;37
162;41
163;45
164;41
165;34
166;34
167;49
168;34
169;33
170;36
171;34
172;37
173;28
174;34
175;32
176;20
177;37
178;19
179;37
