Time;RPS
0;22
1;28
2;30
3;20
4;24
5;21
6;25
7;31
8;6
9;28
10;25
11;23
12;14
13;13
14;27
15;8
16;12
17;18
18;29
19;17
20;23
21;11
22;1
23;12
24;8
25;25
26;27
27;10
28;16
29;1
30;26
31;25
32;16
33;27
34;21
35;21
36;4
37;19
38;16
39;25
40;27
41;26
42;21
43;21
44;25
45;23
46;14
47;32
48;26
49;33
50;16
51;22
52;33
53;24
54;34
55;34
56;40
57;38
58;44
59;41
60;39
61;38
62;39
63;33
64;40
65;50
66;43
67;45
68;51
69;64
70;46
71;52
72;44
73;41
74;51
75;66
76;48
77;50
78;56
79;61
80;74
81;74
82;61
83;77
84;61
85;68
86;57
87;70
88;97
89;66
90;67
91;81
92;64
93;80
94;69
95;79
96;74
97;77
98;87
99;78
100;80
101;71
102;97
103;91
104;82
105;99
106;78
107;81
108;82
109;84
110;84
111;85
112;86
113;76
114;88
115;87
116;93
117;77
118;89
119;83
120;85
121;92
122;70
123;96
124;103
125;88
126;70
127;83
128;75
129;82
130;86
131;77
132;77
133;81
134;77
135;81
136;78
137;73
138;72
139;81
140;66
141;61
142;62
143;48
144;76
145;55
146;72
147;65
148;63
149;63
150;52
151;58
152;55
153;53
154;63
155;45
156;49
157;60
158;54
159;47
160;49
161;58
162;46
163;42
164;32
165;44
166;38
167;47
168;24
169;25
170;43
171;34
172;35
173;28
174;22
175;32
176;34
177;31
178;17
179;17
